DISCIPLINE,DESCRIPTION,CODE,TASK DEFINITION,UNIT,Size,Value
Piping,SHOP FABRICATION,SPH,SHOP HANDLING,ft,0.5,0.025
Piping,SHOP FABRICATION,SPH,SHOP HANDLING,ft,0.75,0.025
Piping,SHOP FABRICATION,SPH,SHOP HANDLING,ft,1,0.025
Piping,SHOP FABRICATION,SPH,SHOP HANDLING,ft,1.5,0.03
Piping,SHOP FABRICATION,SPH,SHOP HANDLING,ft,2,0.03
Piping,SHOP FABRICATION,SPH,SHOP HANDLING,ft,2.5,0.035
Piping,SHOP FABRICATION,SPH,SHOP HANDLING,ft,3,0.035
Piping,SHOP FABRICATION,SPH,SHOP HANDLING,ft,4,0.04
Piping,SHOP FABRICATION,SPH,SHOP HANDLING,ft,6,0.04
Piping,SHOP FABRICATION,SPH,SHOP HANDLING,ft,8,0.045
Piping,SHOP FABRICATION,SPH,SHOP HANDLING,ft,10,0.05
Piping,SHOP FABRICATION,SPH,SHOP HANDLING,ft,12,0.06
Piping,SHOP FABRICATION,SPH,SHOP HANDLING,ft,14,0.075
Piping,SHOP FABRICATION,SPH,SHOP HANDLING,ft,16,0.09
Piping,SHOP FABRICATION,SPH,SHOP HANDLING,ft,18,0.1
Piping,SHOP FABRICATION,SPH,SHOP HANDLING,ft,20,0.12
Piping,SHOP FABRICATION,SPH,SHOP HANDLING,ft,24,0.15
Piping,SHOP FABRICATION,SPH,SHOP HANDLING,ft,30,0.17
Piping,SHOP FABRICATION,SPH,SHOP HANDLING,ft,36,0.2
Piping,SHOP FABRICATION,SPH,SHOP HANDLING,ft,42,0.25
Piping,SHOP FABRICATION,SPH,SHOP HANDLING,ft,48,FALSE
Piping,SHOP FABRICATION,SPH,SHOP HANDLING,ft,54,FALSE
Piping,SHOP FABRICATION,SPH,SHOP HANDLING,ft,60,FALSE
Piping,SHOP FABRICATION,SMH,SHOP MATL PREP,ea,0.5,0.025
Piping,SHOP FABRICATION,SMH,SHOP MATL PREP,ea,0.75,0.025
Piping,SHOP FABRICATION,SMH,SHOP MATL PREP,ea,1,0.025
Piping,SHOP FABRICATION,SMH,SHOP MATL PREP,ea,1.5,0.03
Piping,SHOP FABRICATION,SMH,SHOP MATL PREP,ea,2,0.03
Piping,SHOP FABRICATION,SMH,SHOP MATL PREP,ea,2.5,0.035
Piping,SHOP FABRICATION,SMH,SHOP MATL PREP,ea,3,0.035
Piping,SHOP FABRICATION,SMH,SHOP MATL PREP,ea,4,0.04
Piping,SHOP FABRICATION,SMH,SHOP MATL PREP,ea,6,0.04
Piping,SHOP FABRICATION,SMH,SHOP MATL PREP,ea,8,0.045
Piping,SHOP FABRICATION,SMH,SHOP MATL PREP,ea,10,0.05
Piping,SHOP FABRICATION,SMH,SHOP MATL PREP,ea,12,0.06
Piping,SHOP FABRICATION,SMH,SHOP MATL PREP,ea,14,0.075
Piping,SHOP FABRICATION,SMH,SHOP MATL PREP,ea,16,0.09
Piping,SHOP FABRICATION,SMH,SHOP MATL PREP,ea,18,0.1
Piping,SHOP FABRICATION,SMH,SHOP MATL PREP,ea,20,0.12
Piping,SHOP FABRICATION,SMH,SHOP MATL PREP,ea,24,0.15
Piping,SHOP FABRICATION,SMH,SHOP MATL PREP,ea,30,0.17
Piping,SHOP FABRICATION,SMH,SHOP MATL PREP,ea,36,0.2
Piping,SHOP FABRICATION,SMH,SHOP MATL PREP,ea,42,0.25
Piping,SHOP FABRICATION,SMH,SHOP MATL PREP,ea,48,FALSE
Piping,SHOP FABRICATION,SMH,SHOP MATL PREP,ea,54,FALSE
Piping,SHOP FABRICATION,SMH,SHOP MATL PREP,ea,60,FALSE
Piping,SHOP FABRICATION,SBW,SHOP BUTTWELD,weld,0.5,0.55
Piping,SHOP FABRICATION,SBW,SHOP BUTTWELD,weld,0.75,0.6
Piping,SHOP FABRICATION,SBW,SHOP BUTTWELD,weld,1,0.7
Piping,SHOP FABRICATION,SBW,SHOP BUTTWELD,weld,1.5,0.75
Piping,SHOP FABRICATION,SBW,SHOP BUTTWELD,weld,2,0.8
Piping,SHOP FABRICATION,SBW,SHOP BUTTWELD,weld,2.5,0.85
Piping,SHOP FABRICATION,SBW,SHOP BUTTWELD,weld,3,0.9
Piping,SHOP FABRICATION,SBW,SHOP BUTTWELD,weld,4,1.08
Piping,SHOP FABRICATION,SBW,SHOP BUTTWELD,weld,6,1.62
Piping,SHOP FABRICATION,SBW,SHOP BUTTWELD,weld,8,2.16
Piping,SHOP FABRICATION,SBW,SHOP BUTTWELD,weld,10,2.7
Piping,SHOP FABRICATION,SBW,SHOP BUTTWELD,weld,12,3.24
Piping,SHOP FABRICATION,SBW,SHOP BUTTWELD,weld,14,3.92
Piping,SHOP FABRICATION,SBW,SHOP BUTTWELD,weld,16,4.48
Piping,SHOP FABRICATION,SBW,SHOP BUTTWELD,weld,18,5.04
Piping,SHOP FABRICATION,SBW,SHOP BUTTWELD,weld,20,5.6
Piping,SHOP FABRICATION,SBW,SHOP BUTTWELD,weld,24,7.2
Piping,SHOP FABRICATION,SBW,SHOP BUTTWELD,weld,30,8.4
Piping,SHOP FABRICATION,SBW,SHOP BUTTWELD,weld,36,10.08
Piping,SHOP FABRICATION,SBW,SHOP BUTTWELD,weld,42,FALSE
Piping,SHOP FABRICATION,SBW,SHOP BUTTWELD,weld,48,FALSE
Piping,SHOP FABRICATION,SBW,SHOP BUTTWELD,weld,54,FALSE
Piping,SHOP FABRICATION,SBW,SHOP BUTTWELD,weld,60,FALSE
Piping,SHOP FABRICATION,SBWX,SHOP BUTTWELD XS,weld,0.5,0.75
Piping,SHOP FABRICATION,SBWX,SHOP BUTTWELD XS,weld,0.75,0.95
